INFO  15:21:55 Using data-center name 'datacenter1' for DCAwareRoundRobinPolicy (if this is incorrect, please provide the correct datacenter name with DCAwareRoundRobinPolicy constructor)
INFO  15:21:55 New Cassandra host /172.31.7.56:9042 added
Connected to cluster: Test Cluster
Datatacenter: datacenter1; Host: /172.31.7.56; Rack: rack1
Created schema. Sleeping 1s for propagation.
Sleeping 2s...
Warming up likelyquery0 with 50000 iterations...
Failed to connect over JMX; not collecting these stats
Running [likelyquery0] with 250 threads for 20000000 iteration
Failed to connect over JMX; not collecting these stats
type,      total ops,    op/s,    pk/s,   row/s,    mean,     med,     .95,     .99,    .999,     max,   time,   stderr, errors,  gc: #,  max ms,  sum ms,  sdv ms,      mb
total,        272793,    1671,    1671,    1671,   149.0,   144.8,   184.2,   206.8,   223.7,   234.4,  167.1,  0.00427,      0,      0,       0,       0,       0,       0
total,        274731,    1593,    1593,    1593,   156.8,   148.6,   204.6,   231.9,   269.0,   271.5,  168.3,  0.00424,      0,      0,       0,       0,       0,       0
total,        276517,    1518,    1518,    1518,   159.5,   152.5,   211.5,   238.7,   285.1,   286.9,  169.5,  0.00425,      0,      0,       0,       0,       0,       0
total,        278453,    1621,    1621,    1621,   159.8,   153.3,   207.2,   239.6,   275.5,   279.0,  170.7,  0.00422,      0,      0,       0,       0,       0,       0
total,        280380,    1641,    1641,    1641,   153.2,   146.4,   202.5,   230.6,   274.4,   289.7,  171.8,  0.00419,      0,      0,       0,       0,       0,       0
total,        282364,    1662,    1662,    1662,   150.4,   145.7,   187.7,   213.4,   259.2,   261.3,  173.0,  0.00416,      0,      0,       0,       0,       0,       0
total,        284321,    1552,    1552,    1552,   160.5,   149.0,   224.8,   244.7,   301.6,   306.1,  174.3,  0.00415,      0,      0,       0,       0,       0,       0
total,        286202,    1607,    1607,    1607,   152.1,   147.7,   195.7,   219.3,   248.3,   255.7,  175.5,  0.00412,      0,      0,       0,       0,       0,       0
total,        288084,    1621,    1621,    1621,   157.9,   152.2,   202.0,   239.7,   263.3,   269.9,  176.6,  0.00409,      0,      0,       0,       0,       0,       0
total,        289861,    1520,    1520,    1520,   162.4,   152.1,   230.1,   256.0,   291.0,   367.6,  177.8,  0.00409,      0,      0,       0,       0,       0,       0
total,        291766,    1610,    1610,    1610,   156.4,   151.1,   205.8,   236.5,   295.1,   303.4,  179.0,  0.00407,      0,      0,       0,       0,       0,       0
